po_code,District
M86,Manchester
M80,Manchester
M47,Manchester
OL9,Oldham
M44,Manchester
M24,Manchester
SK9,Manchester
CW1,Manchester
OL8,Oldham
OL1,Oldham
OL4,Oldham
M35,Oldham
OL2,Oldham
OL3,Oldham
M54,Salford
M65,Salford
M66,Salford
M53,Salford
M68,Salford
M30,Salford
M27,Salford
M74,Salford
M52,Salford
M79,Salford
M73,Salford
M72,Salford
M67,Salford
M37,Salford
M38,Salford
M28,Salford
M55,Salford
M36,Salford
SK3,Stockport
SK4,Stockport
SK5,Stockport
SK2,Stockport
SK1,Stockport
SK8,Stockport
SK6,Stockport
SK7,Stockport
OL6,Tameside
OL7,Tameside
M34,Tameside
M43,Tameside
OL5,Tameside
M33,Trafford
M31,Trafford
M41,Trafford
M32,Trafford
WN2,Wigan
WN1,Wigan
WN6,Wigan
WN3,Wigan
WN7,Wigan
M29,Wigan
WA3,Wigan
S71,Barnsley
S70,Barnsley
S63,Barnsley
S75,Barnsley
S73,Barnsley
S72,Barnsley
S36,Barnsley
S74,Barnsley
S35,Barnsley
DN2,Doncaster
DN4,Doncaster
DN5,Doncaster
DN6,Doncaster
DN3,Doncaster
DN1,Doncaster
DN7,Doncaster
S64,Doncaster
DN8,Doncaster
DN9,Doncaster
S65,Rotherham
S62,Rotherham
S26,Rotherham
S61,Rotherham
S60,Rotherham
S13,Rotherham
S66,Rotherham
S25,Rotherham
S81,Rotherham
S10,Sheffield
S24,Sheffield
S12,Sheffield
S21,Sheffield
S11,Sheffield
S23,Sheffield
S80,Sheffield
S22,Sheffield
S91,Sheffield
S39,Sheffield
S48,Sheffield
S56,Sheffield
S89,Sheffield
S58,Sheffield
S88,Sheffield
S47,Sheffield
S57,Sheffield
S94,Sheffield
S17,Sheffield
S14,Sheffield
S20,Sheffield
S50,Sheffield
S37,Sheffield
S95,Sheffield
S87,Sheffield
S59,Sheffield
S92,Sheffield
BD1,Bradford
BD9,Bradford
BD8,Bradford
BD4,Bradford
BD3,Bradford
BD6,Bradford
BD7,Bradford
BD5,Bradford
LS2,Bradford
HX3,Calderdale
HX2,Calderdale
HX1,Calderdale
HD6,Calderdale
HX4,Calderdale
HX7,Calderdale
HX6,Calderdale
HX5,Calderdale
WF1,Kirklees
HD1,Kirklees
HD8,Kirklees
HD5,Kirklees
HD4,Kirklees
HD2,Kirklees
HD3,Kirklees
HD7,Kirklees
HD9,Kirklees
WF4,Kirklees
LS1,Leeds
LS6,Leeds
WF3,Leeds
LS4,Leeds
LS7,Leeds
LS3,Leeds
LS5,Leeds
LS8,Leeds
LS9,Leeds
WF8,Wakefield
WF5,Wakefield
WF7,Wakefield
WF9,Wakefield
WF6,Wakefield
WF2,Wakefield
NE8,Gateshead
NE9,Gateshead
NE1,Gateshead
DH3,Gateshead
NE4,Gateshead
NE3,Gateshead
NE2,Gateshead
NE6,Newcastle upon Tyne
NE5,Newcastle upon Tyne
NE7,Newcastle upon Tyne
SR6,South Tyneside
SR1,Sunderland
SR5,Sunderland
SR4,Sunderland
DH5,Sunderland
SR3,Sunderland
SR2,Sunderland
DH4,Sunderland
CB2,Cambridgeshire
TR2,Isles Of Scilly
BS2,"Bristol, City of"
